Passenger_trav_group,PassengerId_in_group,HomePlanet,CryoSleep,Deck_num,Room_num,Bord_side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,First_name,Last_name,Transported_model,Transported_true
562,2,Mars,True,F,104,right,TRAPPIST-1e,13,False,0,0,0,0,0,Sex,Shcad,True,False
578,1,Earth,True,G,84,right,TRAPPIST-1e,17,False,0,0,0,0,0,Dont,Hoppers,True,False
578,2,Earth,True,G,84,right,TRAPPIST-1e,44,False,0,0,0,0,0,Nance,Hoppers,True,False
584,1,Earth,True,G,88,left,TRAPPIST-1e,21,False,0,0,0,0,0,Charry,Hortis,True,False
595,1,Earth,True,G,88,right,TRAPPIST-1e,40,False,0,0,0,0,0,Royce,Yatters,True,False
606,1,Earth,True,G,93,left,PSO J318,37,False,0,0,0,0,0,Elly,Masquez,True,False
613,1,Earth,True,B,26,left,TRAPPIST-1e,53,False,0,0,0,0,0,Auvan,Stubtlarle,True,False
613,2,Earth,True,B,26,left,TRAPPIST-1e,42,False,0,0,0,0,0,Tetra,Stubtlarle,True,False
625,2,Mars,True,F,111,right,TRAPPIST-1e,42,False,0,0,0,0,0,unknown,unknown,True,False
626,2,Earth,True,B,24,right,TRAPPIST-1e,22,False,0,0,0,0,0,Dyonon,Emoted,True,False
632,3,Earth,True,G,97,left,TRAPPIST-1e,18,False,0,0,0,0,0,Terald,Hebernandry,True,False
640,1,Earth,True,D,26,left,TRAPPIST-1e,38,False,0,0,0,0,0,Suhelik,Dedinder,True,False
651,1,Earth,True,D,28,left,TRAPPIST-1e,25,False,0,0,0,0,0,Terons,Lendly,True,False
652,1,Earth,True,G,96,right,PSO J318,3,False,0,0,0,0,0,Natald,Ashipson,True,False
666,1,Earth,True,G,100,right,TRAPPIST-1e,30,False,0,0,0,0,400,Willy,Antoshipson,True,False
681,1,Earth,True,G,106,left,TRAPPIST-1e,21,False,0,0,0,0,0,Stanya,Pacerty,True,False
694,1,Earth,True,G,105,right,PSO J318,41,False,0,0,0,0,0,Stelly,Hurchrisong,True,False
708,1,Earth,True,B,29,left,TRAPPIST-1e,16,False,0,0,0,0,0,Diph,Obnoftle,True,False
717,1,Earth,True,B,31,left,TRAPPIST-1e,24,False,0,0,0,0,0,Jihoton,Panspic,True,False
717,3,Earth,True,B,31,left,TRAPPIST-1e,48,False,0,0,0,0,0,Nesch,Panspic,True,False
717,4,Earth,True,B,31,left,TRAPPIST-1e,29,False,0,0,0,0,0,Hekab,Bewarsecal,True,False
720,1,Mars,True,F,129,right,TRAPPIST-1e,20,False,0,0,0,0,0,Cings,Hotty,True,False
725,1,Earth,True,G,110,left,PSO J318,48,False,0,0,0,0,0,Joycey,Hewson,True,False
742,2,Mars,True,F,138,right,TRAPPIST-1e,25,False,0,0,0,0,0,Frunk,Min,True,False
748,1,Mars,True,F,139,right,TRAPPIST-1e,33,False,0,0,0,0,0,Oss,Cotte,True,False
749,1,Mars,True,F,159,left,TRAPPIST-1e,19,False,0,0,0,0,0,Widin,Kashe,True,False
751,1,Mars,True,F,141,right,TRAPPIST-1e,21,False,0,0,230,0,0,Ray,Mity,True,False
752,1,Earth,True,G,113,right,TRAPPIST-1e,23,False,0,0,0,0,0,Annon,Hultz,True,False
759,3,Earth,True,C,25,left,TRAPPIST-1e,36,False,0,0,0,0,0,Aston,Tabloory,True,False
763,1,Earth,True,C,30,right,TRAPPIST-1e,29,False,0,0,0,0,0,Anchium,Poustive,True,False
766,1,Mars,True,E,55,right,TRAPPIST-1e,34,False,0,0,0,0,0,Walmon,Derry,True,False
775,2,Earth,True,C,31,right,TRAPPIST-1e,1,False,0,0,0,0,0,Altardr,Trameterty,True,False
775,3,Earth,True,C,31,right,TRAPPIST-1e,18,False,0,0,0,0,0,Syrmion,Trameterty,True,False
778,1,Earth,True,C,32,right,TRAPPIST-1e,41,False,0,0,0,0,0,Sterfik,Ousious,True,False
780,1,Mars,True,D,27,right,TRAPPIST-1e,50,False,0,0,0,500,0,Ritars,Apple,True,False
792,1,Earth,True,G,116,left,PSO J318,17,False,0,0,0,0,0,Elany,Trankliney,True,False
801,1,Mars,True,F,167,left,TRAPPIST-1e,19,False,0,0,0,0,0,Lift,Sto,True,False
812,1,Mars,True,E,58,right,TRAPPIST-1e,38,False,0,0,0,0,0,Panch,Pamca,True,False
832,1,Earth,True,G,122,left,PSO J318,19,False,0,0,0,0,0,Diandi,Folemonley,True,False
837,1,Earth,True,D,34,left,TRAPPIST-1e,28,False,0,0,0,0,0,Suhelik,Queldry,True,False
838,1,Mars,True,E,46,left,TRAPPIST-1e,22,False,0,0,0,0,0,Flyros,Concy,True,False
842,1,Mars,True,E,47,left,TRAPPIST-1e,25,False,0,0,0,0,0,Pars,Hotte,True,False
843,1,Earth,True,G,124,left,PSO J318,43,False,0,0,0,0,0,Hilley,Cabrewsond,True,False
844,1,Mars,True,E,61,right,TRAPPIST-1e,54,False,0,0,0,0,0,Burs,Butte,True,False
852,1,Earth,True,D,29,right,TRAPPIST-1e,69,False,0,0,0,0,0,Asellum,Reewerpic,True,False
854,1,Earth,True,G,126,right,PSO J318,24,False,0,0,0,0,0,Alvia,Kimons,True,False
858,2,Mars,True,F,178,left,TRAPPIST-1e,23,False,0,0,0,0,200,Hion,Mad,True,False
862,1,Earth,True,G,125,left,TRAPPIST-1e,20,False,0,0,0,0,0,Perryl,Burryerson,True,False
864,2,Mars,True,F,162,right,TRAPPIST-1e,43,False,0,0,0,0,0,Dontch,Trad,True,False
864,3,Mars,True,F,162,right,TRAPPIST-1e,9,False,0,0,0,0,0,Feries,Erle,True,False
866,1,Mars,True,F,179,left,TRAPPIST-1e,32,False,0,0,0,0,0,Puffes,Hapie,True,False
880,1,Mars,True,E,50,left,PSO J318,14,False,0,0,0,0,0,Lopedo,Pepie,True,False
880,2,Mars,True,E,50,left,TRAPPIST-1e,45,False,0,0,0,0,400,Want,Pepie,True,False
886,2,Mars,True,F,182,left,TRAPPIST-1e,52,False,0,0,0,0,0,Casps,Bota,True,False
886,3,Mars,True,F,182,left,TRAPPIST-1e,5,False,0,0,0,0,0,Koks,Bota,True,False
892,1,Earth,True,C,36,right,TRAPPIST-1e,17,False,0,0,0,0,0,Tarfik,Poilsive,True,False
897,2,Earth,True,B,36,right,TRAPPIST-1e,28,False,0,0,0,0,0,Azhab,Exhaft,True,False
900,1,Earth,True,G,131,left,PSO J318,26,False,0,0,0,0,0,Yolana,Mirezavis,True,False
908,1,Earth,True,G,136,right,TRAPPIST-1e,7,False,0,0,0,0,0,Timmie,Bookson,True,False
909,2,Mars,True,F,169,right,TRAPPIST-1e,3,False,0,0,0,0,0,Fispot,Wala,True,False
909,3,Mars,True,F,169,right,TRAPPIST-1e,26,False,0,0,0,0,0,Cank,Wala,True,False
937,1,Mars,True,E,52,left,TRAPPIST-1e,18,False,0,0,0,0,0,Crisp,Quith,True,False
943,1,Mars,True,F,197,left,TRAPPIST-1e,45,False,0,0,0,0,0,Jifes,Banie,True,False
943,2,Mars,True,F,197,left,TRAPPIST-1e,5,False,0,0,0,0,0,Gops,Banie,True,False
950,1,Mars,True,F,174,right,TRAPPIST-1e,23,False,0,0,0,0,0,Anakes,Queke,True,False
963,1,Earth,True,D,34,right,TRAPPIST-1e,42,False,0,0,0,0,0,Izares,Syncepul,True,False
977,1,Earth,True,G,147,right,PSO J318,19,False,0,0,0,0,0,Samany,Alest,True,False
981,2,Earth,True,G,148,right,TRAPPIST-1e,63,False,0,0,0,0,0,Jeane,Parsoney,True,False
999,1,Earth,True,G,147,left,PSO J318,21,False,0,0,0,0,0,Vanley,Gambs,True,False
1010,1,Mars,True,F,188,right,TRAPPIST-1e,52,False,0,0,0,0,0,Croos,One,True,False
1016,1,Earth,False,A,12,right,Cancri e,32,False,0,2983,0,6282,74,Grafi,Presectle,True,False
1023,1,Mars,True,F,193,right,TRAPPIST-1e,37,False,0,0,0,0,0,Eet,Vlake,True,False
1028,1,Earth,True,G,160,right,PSO J318,35,False,0,0,0,0,0,Glene,Hendrewsons,True,False
1037,1,Earth,True,G,162,right,TRAPPIST-1e,46,False,250,0,0,0,0,Racily,Olivasquez,True,False
1042,1,Earth,False,A,8,left,Cancri e,34,True,0,1286,39,527,57,Mizark,Witalnerod,True,False
1050,1,Earth,True,G,157,left,TRAPPIST-1e,48,False,0,0,230,0,0,Evendy,Buchansen,True,False
1072,1,Earth,True,G,160,left,PSO J318,57,False,0,0,0,0,0,Lonnis,Arneras,True,False
1072,2,Earth,True,G,160,left,TRAPPIST-1e,24,False,0,0,0,500,0,Kenda,Arneras,True,False
1072,8,Earth,True,G,160,left,TRAPPIST-1e,34,False,0,0,0,0,0,Harvin,Arneras,True,False
1074,2,Earth,True,E,75,right,PSO J318,14,False,0,0,0,0,0,Idarry,Mcbriggins,True,False
1081,1,Earth,True,G,164,left,TRAPPIST-1e,16,False,0,0,0,0,0,Viviay,Steeletters,True,False
1090,1,Earth,True,B,42,right,TRAPPIST-1e,21,False,0,0,0,0,0,Sadlami,Aindlylid,True,False
1106,2,Mars,True,F,209,right,TRAPPIST-1e,13,False,0,0,0,0,0,Ran,Brie,True,False
1111,2,Earth,True,G,172,right,TRAPPIST-1e,5,False,0,0,0,0,0,Almary,Burnerez,True,False
1118,2,Earth,True,C,43,right,TRAPPIST-1e,59,False,0,0,0,0,0,Sula,Headal,True,False
1118,3,Earth,True,C,43,right,TRAPPIST-1e,6,False,0,0,0,0,0,Ashird,Headal,True,False
1119,2,Mars,True,F,214,right,TRAPPIST-1e,31,False,0,0,0,0,0,Gal,Flie,True,False
1122,1,Earth,True,G,169,left,TRAPPIST-1e,13,False,0,0,0,0,0,Maril,Monroellynn,True,False
1124,1,Earth,True,C,44,right,TRAPPIST-1e,31,False,0,0,0,0,0,Sabih,Dighty,True,False
1124,2,Earth,True,C,44,right,TRAPPIST-1e,22,False,0,0,0,0,0,Keidhma,Dighty,True,False
1125,2,Earth,True,G,170,left,TRAPPIST-1e,34,False,0,0,0,0,0,Analdy,Torrez,True,False
1126,1,Mars,True,F,215,right,TRAPPIST-1e,23,False,0,0,0,0,0,Heales,Hoche,True,False
1128,2,Earth,True,B,41,left,TRAPPIST-1e,30,False,0,0,0,0,0,Arion,Wassid,True,False
1135,2,Earth,False,A,21,right,Cancri e,61,False,26,3606,0,0,138,Toperon,Coarswing,True,False
1137,2,Earth,False,A,13,right,Cancri e,28,True,0,109,0,1514,942,Majora,Unings,True,False
1139,1,Earth,True,G,172,left,PSO J318,25,False,0,0,0,0,0,Aleen,Joycerton,True,False
1158,1,Mars,True,E,68,left,TRAPPIST-1e,46,False,0,0,0,0,0,Hont,Vloaf,True,False
1158,2,Mars,True,E,68,left,TRAPPIST-1e,26,False,250,0,0,0,0,Chicke,Vloaf,True,False
1159,1,Earth,True,G,181,right,PSO J318,19,False,0,0,0,0,0,Trice,Garrez,True,False
1159,3,Earth,True,G,181,right,PSO J318,11,False,0,0,0,0,0,Naomie,Garrez,True,False
1172,1,Mars,True,F,222,right,TRAPPIST-1e,18,False,0,0,0,150,0,Healls,Betie,True,False
1183,1,Earth,True,C,45,left,TRAPPIST-1e,18,False,0,0,0,0,0,Alhail,Derupethy,True,False
1184,1,Earth,True,C,46,right,PSO J318,26,False,0,0,0,0,0,Astorux,Peraket,True,False
1207,3,Earth,True,G,185,right,TRAPPIST-1e,1,False,0,0,0,0,0,Sus,River,True,False
1217,2,Earth,True,D,41,right,TRAPPIST-1e,28,False,0,0,0,0,0,Astrah,Droning,True,False
1224,1,Mars,True,F,233,right,TRAPPIST-1e,47,False,0,0,0,0,0,Kink,Chene,True,False
1226,1,Mars,True,F,234,right,TRAPPIST-1e,33,False,0,0,0,0,0,Scers,Flaie,True,False
1226,2,Mars,True,F,234,right,TRAPPIST-1e,43,False,0,0,0,0,0,Slose,Flaie,True,False
1227,1,Earth,True,E,88,right,TRAPPIST-1e,28,False,0,0,0,0,400,Anchib,Spedlybood,True,False
1244,1,Mars,True,F,249,left,TRAPPIST-1e,18,False,0,0,0,0,0,Blues,Shcad,True,False
1245,1,Earth,True,G,190,right,TRAPPIST-1e,16,False,0,0,0,0,0,Bobina,Schmondez,True,False
1247,1,Mars,True,F,250,left,TRAPPIST-1e,6,False,0,0,0,0,0,Ses,Conie,True,False
1251,1,Mars,True,D,43,right,TRAPPIST-1e,29,False,0,0,0,0,0,Row,Steen,True,False
1257,1,Earth,True,C,51,right,TRAPPIST-1e,33,False,0,0,0,0,0,Thaldah,Nairing,True,False
1257,2,Earth,True,C,51,right,TRAPPIST-1e,51,False,0,0,0,0,0,Atino,Nairing,True,False
1265,1,Earth,True,G,188,left,TRAPPIST-1e,13,False,0,0,0,0,0,Dannie,Fredersend,True,False
1301,2,Earth,True,G,197,right,TRAPPIST-1e,5,False,0,0,0,0,0,Chael,Logannon,True,False
1301,3,Earth,True,G,197,right,TRAPPIST-1e,48,False,0,0,0,0,0,Ronard,Logannon,True,False
1320,1,Earth,True,G,195,left,PSO J318,20,False,0,0,0,0,0,Miken,Brenney,True,False
1320,2,Earth,True,G,195,left,TRAPPIST-1e,2,False,0,0,0,0,0,Derine,Brenney,True,False
1320,3,Earth,True,G,195,left,TRAPPIST-1e,2,False,0,0,0,0,0,Stenny,Brenney,True,False
1321,1,Mars,True,E,96,right,TRAPPIST-1e,43,False,0,0,0,0,0,Rail,Gine,True,False
1321,2,Mars,True,F,256,right,TRAPPIST-1e,10,False,0,0,0,0,0,Swal,Gine,True,False
1327,1,Earth,True,G,197,left,TRAPPIST-1e,24,False,0,0,0,0,0,Tin,Browlerson,True,False
1338,2,Earth,True,C,51,left,TRAPPIST-1e,15,False,0,0,0,0,0,Proxima,Ineart,True,False
1339,1,Earth,True,G,202,right,TRAPPIST-1e,15,False,0,0,0,0,0,Pristy,Booness,True,False
1341,2,Earth,True,G,204,right,TRAPPIST-1e,15,False,0,0,0,150,0,Hery,Brooke,True,False
1343,3,Earth,False,A,12,left,Cancri e,27,False,2201,461,0,251,159,Winon,Daterle,True,False
1349,1,Earth,True,G,205,right,TRAPPIST-1e,40,False,0,0,0,0,0,Naomie,Lowelliott,True,False
1354,5,Mars,True,F,263,right,TRAPPIST-1e,29,False,0,0,0,0,0,Clus,Saste,True,False
1354,6,Mars,True,F,263,right,TRAPPIST-1e,17,False,0,0,0,0,0,Mose,Seen,True,False
1358,1,Mars,True,F,273,left,TRAPPIST-1e,25,False,0,0,0,0,0,Kies,Pate,True,False
1361,1,Mars,True,F,264,right,TRAPPIST-1e,24,False,0,0,0,0,0,Pus,Sche,True,False
1367,1,Earth,True,G,207,left,PSO J318,29,False,0,0,0,0,0,Joycey,Rosalanenn,True,False
1369,2,Earth,True,G,209,left,PSO J318,40,False,0,0,0,0,0,Debony,Ocherman,True,False
1372,1,Earth,True,G,210,left,TRAPPIST-1e,36,False,0,0,0,0,0,Thery,Cobson,True,False
1388,1,Earth,True,G,211,right,PSO J318,17,False,0,0,0,0,0,Eddiey,Boyersons,True,False
1394,1,Earth,True,G,213,right,PSO J318,47,False,0,0,0,0,0,Elson,Gregordy,True,False
1409,2,Mars,True,E,107,right,TRAPPIST-1e,43,False,0,0,0,0,0,Rosts,Soun,True,False
1422,3,Earth,False,A,15,right,Cancri e,48,False,58,105,0,7536,103,Grasath,Qualelfic,True,False
1466,1,Earth,True,G,225,right,TRAPPIST-1e,49,False,0,0,0,0,0,Doryn,Raney,True,False
1470,1,Earth,True,G,235,left,TRAPPIST-1e,20,False,0,0,0,0,0,Julin,Rasmussony,True,False
1471,2,Earth,True,G,226,right,TRAPPIST-1e,1,False,0,0,0,0,0,Weney,Morez,True,False
1471,5,Earth,True,G,226,right,TRAPPIST-1e,8,False,0,0,0,0,0,Kentha,Morez,True,False
1472,1,Earth,True,G,236,left,PSO J318,29,False,0,0,0,0,0,Kimena,Dillips,True,False
1480,1,Earth,True,G,238,left,TRAPPIST-1e,42,False,0,0,0,0,0,Melia,Dicksons,True,False
1482,1,Mars,True,F,284,right,TRAPPIST-1e,22,False,0,0,0,0,0,Prish,Bancy,True,False
1486,1,Earth,True,G,228,right,TRAPPIST-1e,41,False,0,0,0,0,0,Randa,Tuckers,True,False
1487,1,Earth,True,G,239,left,PSO J318,0,False,0,0,0,0,0,Shally,Knoxtones,True,False
1496,1,Earth,True,G,242,left,TRAPPIST-1e,50,False,0,0,0,0,0,Estine,Scottney,True,False
1497,1,Mars,True,F,294,left,TRAPPIST-1e,17,False,0,0,0,0,0,Chios,Chmad,True,False
1497,2,Mars,True,F,294,left,TRAPPIST-1e,18,False,0,0,0,0,0,Pil,Chmad,True,False
1502,4,Earth,True,C,54,left,TRAPPIST-1e,71,False,0,0,0,0,0,Hadaton,Donotaked,True,False
1513,1,Earth,True,G,232,right,PSO J318,25,False,0,0,0,0,0,Annya,Benney,True,False
1514,1,Earth,True,G,233,right,PSO J318,35,False,0,0,0,0,0,Jodye,Daughttley,True,False
1522,1,Mars,True,F,296,right,TRAPPIST-1e,27,False,250,0,0,0,0,Prabon,Bancy,True,False
1534,1,Mars,True,E,113,right,TRAPPIST-1e,23,False,1556,0,31,0,0,Ponts,Monie,True,False
1534,2,Mars,True,D,55,right,TRAPPIST-1e,33,False,3303,0,40,1,0,Krunch,Rasty,True,False
1553,1,Mars,True,F,302,right,TRAPPIST-1e,27,False,0,0,0,0,0,Pros,Hacle,True,False
1554,1,Earth,True,G,246,left,PSO J318,33,False,0,0,0,0,0,Rica,Reenez,True,False
1556,1,Earth,True,G,241,right,TRAPPIST-1e,29,False,0,0,0,0,0,Tonnie,Sosalinson,True,False
1559,2,Earth,True,B,51,left,TRAPPIST-1e,27,False,0,0,0,0,0,Suhaion,Cluide,True,False
1574,1,Earth,True,G,244,right,TRAPPIST-1e,46,False,0,0,0,0,0,Weslie,Cartz,True,False
1575,1,Earth,True,G,245,right,TRAPPIST-1e,16,False,0,0,0,0,0,Cinda,Midtt,True,False
1583,1,Mars,True,F,306,right,TRAPPIST-1e,60,False,0,0,0,0,0,Gut,Sam,True,False
1587,1,Earth,True,G,247,right,PSO J318,37,False,0,0,0,0,0,Tanley,Reynoldez,True,False
1607,1,Earth,True,G,258,left,PSO J318,20,False,0,0,0,0,0,Karia,Moodsey,True,False
1616,1,Earth,True,G,260,left,TRAPPIST-1e,69,False,0,0,0,0,0,Inette,Mckinsond,True,False
1627,1,Earth,True,G,251,right,TRAPPIST-1e,34,False,0,0,0,0,0,Doray,Fryersonis,True,False
1629,3,Earth,True,B,72,right,TRAPPIST-1e,24,False,0,0,0,0,0,unknown,unknown,True,False
1629,4,Earth,True,B,72,right,TRAPPIST-1e,21,False,0,0,0,0,0,Mizaron,Ineysive,True,False
1629,5,Earth,True,B,72,right,TRAPPIST-1e,25,False,0,0,0,0,0,Alballa,Ineysive,True,False
1641,1,Mars,True,F,326,left,TRAPPIST-1e,64,False,0,0,0,0,0,Laptin,Parté,True,False
1648,1,Earth,True,E,120,right,TRAPPIST-1e,29,False,0,0,0,0,0,Pollum,Gearriting,True,False
1652,1,Earth,True,G,259,right,PSO J318,4,False,0,0,0,0,0,Coracy,Frederry,True,False
1665,1,Earth,True,C,60,left,TRAPPIST-1e,52,False,0,0,0,0,0,Mesarid,Cotorming,True,False
1665,2,Earth,True,C,60,left,TRAPPIST-1e,29,False,0,0,0,0,400,Alcorux,Cotorming,True,False
1679,1,Earth,True,G,271,left,TRAPPIST-1e,8,False,0,0,0,0,0,Berna,Nasquez,True,False
1689,1,Earth,True,C,64,right,TRAPPIST-1e,2,False,0,0,0,0,0,Murzimp,Asseple,True,False
1701,1,Earth,True,G,275,left,TRAPPIST-1e,22,False,0,0,0,0,0,Coley,Gilleranks,True,False
1726,2,Mars,True,F,329,right,TRAPPIST-1e,11,False,0,0,0,0,0,Siese,Chnie,True,False
1732,1,Earth,True,G,282,left,TRAPPIST-1e,21,False,0,0,0,0,0,Sanney,Gaineyerson,True,False
1741,2,Earth,True,G,286,left,TRAPPIST-1e,4,False,0,0,0,0,0,Pennie,Langatein,True,False
1750,1,Earth,True,G,289,left,TRAPPIST-1e,46,False,0,0,0,0,0,Heald,Howenters,True,False
1759,1,Mars,True,F,335,right,TRAPPIST-1e,26,False,0,0,0,0,0,Toal,Ches,True,False
1765,1,Earth,True,G,290,left,TRAPPIST-1e,38,False,0,0,0,0,0,Joelan,Bookson,True,False
1777,2,Earth,True,B,56,left,TRAPPIST-1e,62,False,0,0,0,0,0,Wimpha,Vertfull,True,False
