Passenger_trav_group,PassengerId_in_group,HomePlanet,CryoSleep,Deck_num,Room_num,Bord_side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,First_name,Last_name,Transported
139,1,Earth,True,C,6,right,Cancri e,35,False,0,0,0,0,0,Charda,Myling,True
140,1,Earth,True,G,19,left,TRAPPIST-1e,24,False,0,0,0,0,0,Evaley,Mejiaddox,True
140,2,Earth,False,F,29,left,TRAPPIST-1e,26,False,440,0,0,0,462,Verney,Whitakers,False
141,1,Mars,False,F,30,left,TRAPPIST-1e,31,False,250,0,97,0,0,Pyrohs,Harte,False
144,1,Earth,False,F,31,right,TRAPPIST-1e,20,False,0,420,210,0,0,Guadae,Dayers,True
146,1,Earth,False,G,25,right,TRAPPIST-1e,56,False,0,0,0,0,0,Verly,Wolferguson,False
147,1,Earth,True,G,26,right,TRAPPIST-1e,50,False,0,0,0,0,0,Samie,Hubbarrison,True
148,1,Mars,False,F,31,left,TRAPPIST-1e,42,False,1072,0,10,0,76,Corsh,Pashe,False
149,1,Earth,True,G,27,right,Cancri e,36,False,0,0,0,0,0,Billya,Hubbarrison,True
151,1,Earth,True,G,20,left,Cancri e,38,False,0,0,0,0,0,Shanie,Simson,False
152,1,Earth,False,F,32,left,TRAPPIST-1e,41,False,0,0,0,0,607,Andan,Estron,False
160,1,Earth,False,G,22,left,TRAPPIST-1e,22,False,4119,0,0,0,61,Gory,Atkinney,False
163,1,Earth,True,B,8,left,TRAPPIST-1e,26,False,0,0,0,0,0,Kabiton,Hetforhaft,True
163,2,Earth,True,B,8,left,TRAPPIST-1e,17,False,0,0,0,0,0,Scharab,Hetforhaft,True
164,1,Earth,False,G,28,right,TRAPPIST-1e,57,False,50,1688,0,450,135,Fany,Hutchinton,True
164,2,Earth,True,G,28,right,PSO J318,17,False,0,0,0,0,0,Ianya,Hutchinton,False
165,1,Mars,True,F,37,left,TRAPPIST-1e,35,False,0,0,0,0,0,Graven,Anche,True
167,1,Mars,True,F,35,right,TRAPPIST-1e,13,False,0,0,0,0,0,Miten,Floaf,True
167,2,Mars,False,F,35,right,TRAPPIST-1e,27,False,1365,0,48,22,137,Rios,Floaf,False
169,1,Earth,True,G,23,left,TRAPPIST-1e,31,False,0,0,0,0,0,Wandy,Fisherry,False
170,1,Earth,False,E,10,right,TRAPPIST-1e,24,False,0,0,0,221,567,Mollie,Mcmahoney,False
171,1,Earth,True,G,30,right,PSO J318,19,False,0,0,0,0,0,Coracy,Gordanieves,True
172,1,Earth,True,G,24,left,TRAPPIST-1e,32,False,0,0,0,0,0,Hanna,Johnshines,True
173,1,Earth,False,E,11,right,TRAPPIST-1e,58,False,0,985,0,5,0,Hilip,Grifford,True
174,1,Earth,False,F,38,left,Cancri e,21,False,287,0,16,115,175,Doryn,Lambles,False
177,1,Earth,False,B,2,right,TRAPPIST-1e,38,False,0,10346,1,14970,2111,Toperon,Iniouser,False
178,1,Mars,False,D,6,right,TRAPPIST-1e,38,False,3414,0,161,28,119,Wees,Knik,False
179,1,Earth,False,G,26,left,TRAPPIST-1e,19,False,1,219,673,2,11,Elaney,Webstephrey,True
179,2,Earth,False,G,26,left,TRAPPIST-1e,0,False,0,0,0,0,0,Raque,Webstephrey,False
179,3,Earth,False,G,26,left,TRAPPIST-1e,3,False,0,0,0,0,0,Sallyl,Webstephrey,True
181,1,Earth,False,G,27,left,TRAPPIST-1e,20,False,0,0,3,299,92,Nancis,Brighttt,False
182,1,Earth,True,C,3,left,TRAPPIST-1e,24,False,0,0,0,0,0,Ksorab,Disight,True
183,1,Earth,False,F,36,right,TRAPPIST-1e,37,False,17,146,426,0,232,Stany,Weaves,True
186,1,Earth,False,G,28,left,TRAPPIST-1e,25,False,62,0,0,0,956,Camiet,Shephendry,False
188,1,Earth,True,G,31,right,TRAPPIST-1e,56,False,0,0,0,0,0,Branda,Romez,True
189,1,Earth,False,E,8,left,Cancri e,49,False,84,3,401,202,98,Helly,Booters,False
190,1,Earth,True,G,32,right,Cancri e,11,False,0,0,0,0,0,unknown,unknown,False
192,1,Earth,True,G,29,left,TRAPPIST-1e,1,False,0,0,0,0,0,Tance,Adavisons,True
192,2,Earth,False,G,29,left,TRAPPIST-1e,8,False,0,0,0,0,0,Robyny,Adavisons,False
192,3,Earth,False,G,29,left,TRAPPIST-1e,39,False,0,0,10,898,0,Lilace,Adavisons,False
193,1,Mars,True,F,41,left,TRAPPIST-1e,2,False,0,0,0,0,0,Sps,Raf,True
193,2,Mars,False,F,41,left,TRAPPIST-1e,23,False,250,0,8,1072,0,Frook,Raf,False
193,3,Mars,False,F,41,left,TRAPPIST-1e,0,False,0,0,0,0,0,Goles,Raf,True
195,1,Mars,False,F,42,left,TRAPPIST-1e,39,False,406,0,867,0,0,Bar,Floaf,True
196,1,Mars,False,D,5,left,PSO J318,25,False,1052,0,719,0,7,Caper,Emead,False
197,1,Earth,False,C,5,left,TRAPPIST-1e,36,False,0,972,0,795,575,Astrak,Dissper,False
198,1,Earth,True,G,30,left,PSO J318,52,False,0,0,0,0,0,Jeroy,Cookson,True
199,1,Earth,True,G,33,right,TRAPPIST-1e,18,False,0,0,0,0,0,Regana,Morrows,False
200,1,Earth,True,G,31,left,TRAPPIST-1e,15,False,0,0,0,0,0,Elia,Colomonson,True
201,1,Earth,True,B,3,right,TRAPPIST-1e,35,False,0,0,0,0,0,Kaffias,Bacistion,True
201,2,Earth,True,B,3,right,TRAPPIST-1e,47,False,0,0,0,0,0,Edaruma,Bacistion,True
202,1,Earth,True,B,9,left,Cancri e,45,False,0,0,0,0,0,Pomera,Embleng,True
202,2,Earth,False,A,2,left,Cancri e,36,False,0,2433,180,878,443,Vegas,Embleng,True
203,1,Earth,True,C,8,right,TRAPPIST-1e,51,False,0,0,0,0,0,Ancham,Heateele,True
205,1,Earth,False,G,34,right,TRAPPIST-1e,29,False,0,2,66,0,705,Carma,Oneiles,False
206,1,Earth,False,C,9,right,Cancri e,36,False,2,1720,12,1125,122,Nuson,Brugashed,True
207,1,Earth,True,G,32,left,PSO J318,19,False,0,0,0,0,0,Thony,Mcfaddennon,False
210,1,Earth,True,D,6,left,Cancri e,24,False,0,0,180,0,0,Arraid,Inicont,True
211,1,Mars,False,F,44,left,TRAPPIST-1e,29,False,902,1,137,0,0,Pebuts,Appie,True
211,2,Mars,True,F,44,left,TRAPPIST-1e,11,False,0,0,0,0,0,Corsh,Appie,True
211,3,Mars,False,F,44,left,TRAPPIST-1e,17,False,848,0,307,182,0,Picers,Date,False
212,1,Earth,False,E,9,left,TRAPPIST-1e,13,False,192,0,0,51,739,Inen,Workmans,False
212,2,Earth,False,F,45,left,TRAPPIST-1e,35,False,147,188,0,10,387,Shally,Workmans,False
213,1,Earth,False,F,46,left,TRAPPIST-1e,21,False,367,281,0,0,146,Carita,Navages,False
216,1,Earth,False,F,40,right,Cancri e,21,False,0,56,0,0,1918,Searla,Garnes,False
217,1,Earth,False,F,47,left,TRAPPIST-1e,38,False,1517,0,0,27,0,Prilly,Shieldson,False
219,1,Earth,True,G,36,left,TRAPPIST-1e,19,False,0,0,0,0,0,Nica,River,True
220,1,Earth,True,G,37,left,TRAPPIST-1e,2,False,0,0,0,0,0,Tyle,Wilsoney,True
220,2,Earth,False,G,37,left,TRAPPIST-1e,0,False,0,0,0,0,0,Wena,Wilsoney,True
220,3,Earth,True,G,37,left,TRAPPIST-1e,13,False,0,0,0,0,0,Branca,Wilsoney,False
220,4,Earth,False,E,10,left,TRAPPIST-1e,25,False,122,84,180,0,0,Dont,Wilsoney,False
220,5,Earth,False,F,48,left,TRAPPIST-1e,16,False,0,3,0,0,1099,Velyne,Wilsoney,False
220,6,Earth,False,G,37,left,Cancri e,1,False,0,0,0,0,0,Weney,Wilsoney,False
220,7,Earth,True,G,37,left,TRAPPIST-1e,15,False,0,0,0,0,0,Guye,Wilsoney,True
221,1,Mars,False,E,13,right,Cancri e,21,False,2237,0,119,0,0,Cowhex,Blan,False
221,2,Mars,False,E,13,right,TRAPPIST-1e,23,False,1215,80,1,2,0,Yogark,Reke,False
221,3,Mars,False,E,13,right,TRAPPIST-1e,33,False,1933,12,188,1,0,Jacks,Reke,False
221,4,Mars,True,E,13,right,TRAPPIST-1e,21,False,0,0,0,0,0,Eerch,Reke,True
221,5,Mars,False,E,13,right,TRAPPIST-1e,41,False,1230,0,301,43,1023,Panbug,Reke,False
221,6,Mars,False,E,13,right,TRAPPIST-1e,16,False,915,0,221,234,0,Gran,Reke,False
221,7,Mars,True,E,13,right,TRAPPIST-1e,42,False,0,0,0,0,0,Rohs,Reke,False
222,1,Mars,False,F,41,right,TRAPPIST-1e,20,False,1406,0,0,11,0,Gone,Perte,False
222,2,Mars,True,F,41,right,TRAPPIST-1e,24,False,0,0,0,0,0,Colf,Deva,True
222,3,Mars,True,E,14,right,TRAPPIST-1e,16,False,0,0,0,0,0,Grake,Perte,True
223,1,Earth,False,G,35,right,TRAPPIST-1e,21,False,0,2,665,0,9,Evan,Sykess,False
224,1,Mars,False,F,42,right,TRAPPIST-1e,32,True,181,0,5,1634,0,Blues,Queen,False
225,1,Earth,True,G,38,left,PSO J318,58,False,0,0,0,0,0,Carly,Hortis,True
229,1,Earth,False,F,43,right,TRAPPIST-1e,24,False,4,7,0,713,79,Done,Sellahaney,False
231,1,Mars,False,F,44,right,TRAPPIST-1e,30,False,85,0,1,1720,0,Krus,Nate,False
232,1,Earth,True,G,36,right,PSO J318,27,False,0,0,0,0,0,Nica,Bakerrison,False
233,1,Mars,False,F,45,right,TRAPPIST-1e,32,False,56,0,256,1438,0,Teda,Wist,False
234,1,Earth,False,F,50,left,TRAPPIST-1e,43,False,250,888,0,0,0,Keitha,Josey,False
237,1,Earth,True,B,11,left,TRAPPIST-1e,42,False,0,0,0,0,0,Weias,Aginge,True
240,1,Mars,True,F,52,left,TRAPPIST-1e,35,False,0,0,0,0,0,Puffes,Crie,True
241,1,Earth,False,E,11,left,Cancri e,33,False,0,1249,0,4812,1116,Alas,Dischod,False
242,1,Earth,False,F,46,right,TRAPPIST-1e,18,False,313,1,691,283,0,Almone,Sté,False
243,1,Earth,True,G,37,right,TRAPPIST-1e,21,False,0,0,0,0,0,Lilace,Cartyernan,False
244,1,Mars,True,A,41,right,TRAPPIST-1e,43,False,0,0,0,0,0,Froos,Sad,True
244,2,Mars,True,F,47,right,Cancri e,14,False,0,0,0,0,0,Tous,Sad,True
245,1,Earth,False,C,6,left,Cancri e,46,False,0,3571,0,0,7,Glueba,Repumparte,True
245,2,Earth,False,C,6,left,TRAPPIST-1e,33,False,0,86,796,584,10912,Anchib,Repumparte,False
246,1,Mars,False,D,8,left,TRAPPIST-1e,21,False,2947,0,287,27,0,Mele,Sesa,False
248,1,Earth,False,C,10,right,TRAPPIST-1e,33,False,0,1,0,8620,1063,Genifi,Spanxibus,False
250,1,Earth,True,G,38,right,PSO J318,47,False,250,0,0,0,0,Camily,Kramosley,False
251,1,Earth,True,C,11,right,Cancri e,54,False,0,0,0,0,0,Diphah,Amsive,True
252,1,Earth,False,F,53,left,TRAPPIST-1e,30,False,335,695,541,0,0,Leenny,Byerry,False
253,1,Earth,False,G,42,left,TRAPPIST-1e,29,False,272,615,0,0,1,Dawne,Cardner,False
254,1,Earth,False,F,54,left,TRAPPIST-1e,21,False,702,172,408,2,6,Race,Stenson,True
255,1,Earth,True,A,3,right,TRAPPIST-1e,24,False,0,0,0,0,0,Ashir,Mingious,True
257,1,Mars,False,F,49,right,Cancri e,21,False,1664,0,180,0,0,Errohs,Berte,False
257,2,Mars,True,F,49,right,TRAPPIST-1e,60,False,0,0,0,0,0,Squars,Berte,True
258,1,Earth,False,F,50,right,TRAPPIST-1e,22,False,0,0,313,299,92,Feryla,Cooperkins,False
260,1,Earth,False,E,16,right,TRAPPIST-1e,26,False,0,4810,0,981,2054,Segino,Inderly,False
261,1,Earth,False,F,56,left,TRAPPIST-1e,26,False,66,29,0,0,803,Dord,Bookerson,False
263,1,Earth,True,G,43,left,TRAPPIST-1e,28,False,0,0,0,0,0,Maen,Merkins,True
265,1,Earth,True,D,8,right,TRAPPIST-1e,39,False,0,0,0,450,0,Etair,Herpumble,True
267,1,Earth,False,F,51,right,TRAPPIST-1e,13,False,118,0,0,754,1,Lilace,Sancockett,False
269,1,Earth,False,F,52,right,Cancri e,47,False,0,231,592,0,0,Lerome,Polliamposs,True
270,1,Earth,False,F,59,left,TRAPPIST-1e,63,False,0,25,128,0,1240,Cathya,Fryersonis,False
275,1,Earth,True,D,9,right,Cancri e,36,False,0,0,0,0,0,Terf,Obnoble,True
277,1,Earth,False,F,61,left,Cancri e,50,False,44,2390,0,53,0,Byront,Mcdanield,True
278,1,Earth,False,A,45,left,TRAPPIST-1e,35,False,0,0,0,888,400,Judya,Beachez,False
278,2,Earth,False,G,45,left,TRAPPIST-1e,45,False,0,97,0,14,333,Marice,Beachez,False
281,1,Earth,False,F,63,left,TRAPPIST-1e,19,False,0,0,2078,0,0,Derine,Pierry,True
282,1,Earth,False,F,54,right,TRAPPIST-1e,21,False,0,918,0,0,0,Valex,Baketton,True
283,1,Earth,True,G,46,left,PSO J318,29,False,0,0,0,0,0,Jacky,Santin,True
283,2,Earth,False,F,64,left,TRAPPIST-1e,22,False,146,654,1,0,2,Roydo,Santin,True
285,1,Earth,True,E,16,left,TRAPPIST-1e,14,False,0,0,0,0,0,Krabik,Invebodene,True
285,2,Earth,True,E,16,left,Cancri e,42,False,0,0,0,0,0,Grasath,Invebodene,True
286,1,Earth,False,F,65,left,Cancri e,57,False,3,1281,29,162,13,Carita,Jimes,False
287,1,Earth,True,A,49,left,Cancri e,39,False,0,0,0,0,0,Tetra,Bootty,True
287,2,Earth,False,B,12,left,TRAPPIST-1e,28,False,0,587,32,6,1460,Alasym,Bootty,False
288,1,Earth,False,F,55,right,Cancri e,19,False,0,0,0,0,828,Gory,Delez,False
289,1,Earth,True,C,12,right,Cancri e,19,False,0,0,0,0,0,Furuson,Objeciane,True
290,1,Earth,False,B,7,right,Cancri e,26,False,0,4458,0,1157,262,Skaton,Excialing,True
290,2,Earth,True,B,7,right,TRAPPIST-1e,17,False,0,0,0,0,0,Algor,Excialing,True
290,3,Earth,True,B,7,right,TRAPPIST-1e,43,False,0,0,0,0,0,Dhenar,Excialing,True
